,scenario,reverb,snr,si_sdri,si_sdr,si_sdr_start,si_sdr_start_speaker0,si_sdr_start_speaker1,si_sdr_speaker0,si_sdr_spkeaker1
101,101,0.58,14.31,5.1226325035095215,5.115185737609863,-0.007446669973433018,-0.021287642419338226,0.0063943020068109035,5.093514919281006,5.1368560791015625
102,102,0.58,13.9,-0.24391323328018188,-0.46525436639785767,-0.22134113311767578,-0.19887901842594147,-0.2438032329082489,0.7234970331192017,-1.654005765914917
103,103,0.44,7.74,12.85506820678711,12.186470985412598,-0.6685976386070251,-0.6843522191047668,-0.6528430581092834,11.822956085205078,12.549985885620117
104,104,0.39,5.68,5.219325065612793,4.097389221191406,-1.1219360828399658,-1.1244170665740967,-1.1194549798965454,4.009669303894043,4.185108661651611
105,105,0.55,1.61,7.346400737762451,5.053704261779785,-2.292696475982666,-2.2502925395965576,-2.3351006507873535,4.835498809814453,5.271909713745117
106,106,0.58,13.51,8.434743881225586,8.168917655944824,-0.26582634449005127,-0.22235912084579468,-0.30929359793663025,8.331244468688965,8.006590843200684
107,107,0.32,0.05,7.43790340423584,4.512511253356934,-2.9253921508789062,-2.897934675216675,-2.952849864959717,4.199471473693848,4.8255510330200195
108,108,0.45,3.79,2.5347442626953125,1.0767228603363037,-1.4580212831497192,-1.375699758529663,-1.5403428077697754,0.4718719720840454,1.6815738677978516
109,109,0.46,12.3,3.3483035564422607,3.1059837341308594,-0.2423197478055954,-0.25392448902130127,-0.23071500658988953,3.0669021606445312,3.1450655460357666
110,110,0.57,7.01,0.4875960648059845,-0.2862085998058319,-0.7738046646118164,-0.7667055130004883,-0.7809038162231445,0.391726016998291,-0.9641432166099548
111,111,0.46,13.67,9.68346881866455,9.602231979370117,-0.08123640716075897,-0.08191186189651489,-0.08056095242500305,9.564811706542969,9.63965129852295
112,112,0.57,14.02,3.957869291305542,3.821493148803711,-0.13637623190879822,-0.1465587317943573,-0.12619373202323914,3.848513126373291,3.79447340965271
113,113,0.42,12.16,9.241540908813477,8.919090270996094,-0.32245078682899475,-0.2972429394721985,-0.347658634185791,8.763346672058105,9.074833869934082
114,114,0.39,6.43,-1.1120258569717407,-1.9279789924621582,-0.8159531354904175,-0.8271715044975281,-0.8047347664833069,-2.5558922290802,-1.3000656366348267
115,115,0.34,9.7,7.696307182312012,7.2112226486206055,-0.4850847125053406,-0.4956677258014679,-0.47450172901153564,7.147536277770996,7.274909496307373
116,116,0.42,9.58,8.933687210083008,8.510129928588867,-0.4235570728778839,-0.4127793312072754,-0.43433481454849243,8.631295204162598,8.388965606689453
117,117,0.58,12.81,6.351632118225098,6.184200286865234,-0.16743168234825134,-0.16225895285606384,-0.17260439693927765,6.350469589233398,6.017930507659912
118,118,0.22,5.7,9.75565242767334,8.733355522155762,-1.0222971439361572,-1.0184376239776611,-1.0261567831039429,8.457770347595215,9.008940696716309
119,119,0.45,2.74,-1.7335734367370605,-3.5249900817871094,-1.7914166450500488,-1.7870831489562988,-1.7957501411437988,-2.358508348464966,-4.691471576690674
120,120,0.25,5.79,0.5654951333999634,-0.4158773720264435,-0.9813724756240845,-0.9503284096717834,-1.0124164819717407,0.08062620460987091,-0.9123809337615967
121,121,0.39,1.93,5.932398796081543,3.777702808380127,-2.154695749282837,-2.1789937019348145,-2.1303977966308594,3.7270045280456543,3.8284013271331787
122,122,0.57,12.77,8.847879409790039,8.635658264160156,-0.21222078800201416,-0.21003858745098114,-0.21440298855304718,8.669076919555664,8.602239608764648
123,123,0.47,3.45,8.894258499145508,7.239124774932861,-1.6551339626312256,-1.6247702836990356,-1.685497522354126,7.187297344207764,7.290952205657959
124,124,0.46,12.01,10.238404273986816,10.010059356689453,-0.22834497690200806,-0.22395029664039612,-0.23273965716362,9.871294021606445,10.148824691772461
125,125,0.37,12.41,8.932756423950195,8.639043807983398,-0.29371243715286255,-0.322223037481308,-0.2652018666267395,8.598840713500977,8.679245948791504
126,126,0.39,3.46,9.072010040283203,7.386914253234863,-1.685096263885498,-1.6627289056777954,-1.7074635028839111,7.639736652374268,7.134091854095459
127,127,0.55,1.9,9.928487777709961,7.837375164031982,-2.0911128520965576,-2.0754408836364746,-2.1067848205566406,8.02068042755127,7.654069900512695
128,128,0.37,2.94,9.553115844726562,7.76949405670166,-1.7836216688156128,-1.734609842300415,-1.8326334953308105,7.3240766525268555,8.214911460876465
129,129,0.24,8.05,8.607818603515625,7.949604034423828,-0.6582142114639282,-0.6441776752471924,-0.6722507476806641,8.183418273925781,7.715790271759033
130,130,0.41,7.9,9.331015586853027,8.651105880737305,-0.6799098253250122,-0.6839479207992554,-0.675871729850769,8.829174041748047,8.473038673400879
131,131,0.43,6.61,9.983050346374512,9.154197692871094,-0.8288522362709045,-0.8229883909225464,-0.8347160816192627,9.160276412963867,9.148118019104004
132,132,0.41,0.07,2.649501323699951,-0.2027880847454071,-2.8522894382476807,-2.893014430999756,-2.8115644454956055,-0.5510355830192566,0.14545941352844238
133,133,0.42,9.53,10.45923137664795,10.022985458374023,-0.4362460970878601,-0.43633756041526794,-0.43615466356277466,9.97146987915039,10.074501991271973
134,134,0.5,12.09,-2.9003942012786865,-3.217357635498047,-0.31696343421936035,-0.3013615608215332,-0.3325653076171875,-4.718870162963867,-1.7158453464508057
135,135,0.53,7.9,2.4276745319366455,1.7722814083099365,-0.655393123626709,-0.6994160413742065,-0.6113702058792114,1.3731969594955444,2.171365737915039
136,136,0.46,12.38,8.053726196289062,7.855717658996582,-0.19800853729248047,-0.17299039661884308,-0.22302669286727905,7.9350738525390625,7.776361465454102
137,137,0.48,8.6,8.30030632019043,7.66874885559082,-0.6315575838088989,-0.6526180505752563,-0.6104971170425415,8.0220308303833,7.31546688079834
138,138,0.59,5.98,7.337596893310547,6.279881477355957,-1.0577151775360107,-1.070678472518921,-1.0447520017623901,6.363659381866455,6.196103096008301
139,139,0.42,3.81,8.82373332977295,7.234407424926758,-1.5893259048461914,-1.5580862760543823,-1.62056565284729,6.922309875488281,7.546505451202393
140,140,0.27,11.04,9.242762565612793,8.928382873535156,-0.31437981128692627,-0.3079473376274109,-0.32081228494644165,8.921998977661133,8.93476676940918
141,141,0.54,3.01,1.6259819269180298,-0.2149125188589096,-1.8408944606781006,-1.8147358894348145,-1.8670530319213867,0.015721052885055542,-0.44554609060287476
