,scenario,reverb,snr,si_sdri,si_sdr,si_sdr_start,si_sdr_start_speaker0,si_sdr_start_speaker1,complement_si_sdr_speaker0,complement_si_sdr_speaker1,si_sdr_speaker0,si_sdr_speaker1
3213,3213,0.51,10.85,7.656257629394531,6.909037113189697,-0.7472202777862549,-3.723600387573242,2.2291598320007324,4.762947082519531,9.185342788696289,5.328107833862305,8.48996639251709
3214,3214,0.51,14.06,12.120802879333496,11.76083755493164,-0.35996565222740173,0.37523728609085083,-1.0951685905456543,12.292546272277832,11.064416885375977,12.028800010681152,11.492876052856445
3215,3215,0.22,9.95,8.908445358276367,8.021835327148438,-0.8866102695465088,-2.6619906425476074,0.8887701034545898,6.698977470397949,9.518027305603027,7.297125816345215,8.74654483795166
3216,3216,0.48,13.47,9.078827857971191,8.566393852233887,-0.5124341249465942,3.403027296066284,-4.427895545959473,10.77004623413086,6.038881301879883,10.834217071533203,6.29857063293457
3217,3217,0.42,5.39,7.945929050445557,5.293654441833496,-2.6522746086120605,-7.752912521362305,2.4483635425567627,1.730750322341919,9.64410400390625,0.7619439363479614,9.82536506652832
3218,3218,0.36,2.21,9.83617877960205,6.387698173522949,-3.4484806060791016,-4.156028747558594,-2.7409324645996094,5.353687286376953,7.964982986450195,6.647496700286865,6.127899169921875
3219,3219,0.6,4.27,7.308225631713867,4.837714195251465,-2.4705111980438232,-2.399838447570801,-2.5411839485168457,5.247001647949219,5.107974529266357,4.696383953094482,4.979044437408447
3220,3220,0.26,10.66,11.666539192199707,10.945270538330078,-0.7212684154510498,2.0063071250915527,-3.4488439559936523,12.567899703979492,9.337300300598145,12.559755325317383,9.330784797668457
3221,3221,0.52,7.35,11.717272758483887,10.291254043579102,-1.4260190725326538,0.5795662999153137,-3.4316043853759766,11.576261520385742,8.725115776062012,11.382383346557617,9.200124740600586
3222,3222,0.28,10.41,10.731118202209473,9.518099784851074,-1.2130184173583984,5.790688514709473,-8.21672534942627,13.793095588684082,5.423576354980469,14.258710861206055,4.7774882316589355
3223,3223,0.4,2.58,9.723031997680664,6.214805603027344,-3.5082268714904785,-0.6651779413223267,-6.35127592086792,9.934103012084961,3.2024712562561035,7.281911373138428,5.14769983291626
3224,3224,0.27,14.47,8.06003189086914,7.154510498046875,-0.9055209159851074,8.475369453430176,-10.28641128540039,13.679908752441406,0.5802526473999023,12.506207466125488,1.8028135299682617
3225,3225,0.34,9.2,7.746250152587891,6.48234748840332,-1.2639026641845703,3.382753372192383,-5.910558700561523,10.296573638916016,3.0598411560058594,8.695372581481934,4.269322872161865
3226,3226,0.56,10.21,8.445775032043457,7.568100929260254,-0.8776739835739136,-4.526453495025635,2.7711055278778076,3.588421106338501,9.802316665649414,5.051860809326172,10.084341049194336
3227,3227,0.39,0.4,9.455354690551758,5.047403335571289,-4.4079508781433105,-4.18474817276001,-4.631153583526611,5.4746294021606445,5.857253551483154,5.867693901062012,4.227113246917725
3228,3228,0.31,11.73,7.64030647277832,6.974697113037109,-0.66560959815979,3.504835605621338,-4.836054801940918,9.75039291381836,4.191910743713379,9.126052856445312,4.8233418464660645
3229,3229,0.42,10.83,9.945060729980469,9.318567276000977,-0.6264932155609131,-1.667964220046997,0.4149778187274933,8.894937515258789,9.638448715209961,8.350794792175293,10.286338806152344
3230,3230,0.39,0.72,8.374424934387207,3.990936279296875,-4.383488655090332,-3.744178056716919,-5.022799491882324,4.699102401733398,4.662283897399902,5.064849853515625,2.917022466659546
3231,3231,0.3,13.61,10.00792121887207,9.649991989135742,-0.35792940855026245,-1.5370208024978638,0.8211619853973389,8.940895080566406,10.467883110046387,9.128337860107422,10.171647071838379
3232,3232,0.38,0.21,7.454695701599121,2.793578863143921,-4.661116600036621,-3.763413429260254,-5.5588202476501465,4.926769733428955,3.039080858230591,3.688042402267456,1.8991153240203857
3233,3233,0.23,12.66,10.537919044494629,9.990860939025879,-0.5470584630966187,3.4282920360565186,-4.522408962249756,11.786989212036133,6.677096366882324,11.87289810180664,8.108823776245117
3234,3234,0.41,8.5,3.7711007595062256,2.5771353244781494,-1.1939654350280762,3.0949344635009766,-5.482865333557129,6.912575721740723,-0.9486173987388611,6.724635124206543,-1.5703643560409546
3235,3235,0.34,1.03,9.21397590637207,4.798017501831055,-4.415958404541016,-6.512183666229248,-2.3197336196899414,3.523318290710449,7.240405082702637,3.163264274597168,6.432770729064941
3236,3236,0.41,11.43,9.134720802307129,8.52756118774414,-0.6071593761444092,-3.472930908203125,2.2586121559143066,6.302781581878662,10.731372833251953,7.30109977722168,9.754021644592285
3237,3237,0.24,2.84,5.714068412780762,2.4764204025268555,-3.2376482486724854,-5.243882179260254,-1.2314141988754272,1.5331679582595825,4.942054271697998,0.9433962106704712,4.009444713592529
3238,3238,0.21,1.97,7.517868995666504,3.1821553707122803,-4.3357133865356445,-0.4695588946342468,-8.201868057250977,7.6801958084106445,0.5950928330421448,6.664450168609619,-0.30013951659202576
3239,3239,0.27,9.71,6.733142852783203,5.152550220489502,-1.5805926322937012,-8.57687759399414,5.415692329406738,0.02009427919983864,10.744686126708984,0.4060863256454468,9.899014472961426
3240,3240,0.43,1.56,8.494388580322266,4.393923282623291,-4.100464820861816,-6.6413254737854,-1.5596044063568115,3.9861626625061035,6.982963562011719,0.9063045978546143,7.881542205810547
3241,3241,0.34,6.24,9.213191986083984,6.483775615692139,-2.729416847229004,-8.84665584564209,3.387822151184082,1.4122884273529053,11.683753967285156,2.656285524368286,10.31126594543457
3242,3242,0.56,6.77,-1.793206810951233,-3.4476163387298584,-1.6544095277786255,-3.9847254753112793,0.6759064197540283,-3.760993719100952,-2.4217920303344727,-4.6407470703125,-2.254485607147217
3243,3243,0.43,14.22,6.896381855010986,6.354991912841797,-0.5413899421691895,-6.339947700500488,5.257167816162109,2.4753663539886475,10.29928207397461,2.8465983867645264,9.863385200500488
3244,3244,0.42,11.79,8.675434112548828,7.982821941375732,-0.6926120519638062,3.889009714126587,-5.274233818054199,11.552728652954102,4.389009952545166,10.081409454345703,5.884234428405762
3245,3245,0.3,9.36,9.958307266235352,9.047067642211914,-0.9112392663955688,-2.2351675033569336,0.4126889705657959,7.889873504638672,10.33493423461914,8.654911041259766,9.439225196838379
3246,3246,0.33,6.01,8.181021690368652,5.924325466156006,-2.2566964626312256,2.143008232116699,-6.65640115737915,9.957176208496094,2.280987501144409,8.426559448242188,3.422091245651245
3247,3247,0.4,12.66,10.50246810913086,10.039814949035645,-0.46265316009521484,-5.215719223022461,4.290412902832031,7.159148216247559,13.017045021057129,7.390079021453857,12.689550399780273
3248,3248,0.39,14.57,11.121811866760254,10.91273307800293,-0.20907869935035706,-0.4845052659511566,0.06634785234928131,10.42343521118164,11.120014190673828,10.9532470703125,10.872220039367676
3249,3249,0.45,12.51,8.813785552978516,8.26803207397461,-0.5457535982131958,0.6344773769378662,-1.7259845733642578,8.757105827331543,6.849055767059326,8.540470123291016,7.995594024658203
3250,3250,0.24,12.06,6.1125407218933105,5.312785625457764,-0.7997550964355469,-6.139503479003906,4.5399932861328125,1.6906839609146118,8.88271427154541,2.071584463119507,8.553986549377441
3251,3251,0.35,1.06,1.8594970703125,-2.36545467376709,-4.22495174407959,-5.769487380981445,-2.6804165840148926,-1.4968205690383911,-0.9637243151664734,-3.5158677101135254,-1.2150417566299438
