,scenario,reverb,snr,si_sdri,si_sdr,si_sdr_start,si_sdr_start_speaker0,si_sdr_start_speaker1,si_sdr_speaker0,si_sdr_spkeaker1,vad_accuracy,vad_acc_speaker0,vad_acc_speaker1
30,30,0.48,1.4,8.926607131958008,3.8614132404327393,-5.065194129943848,-0.19852809607982635,-9.931859970092773,7.1929497718811035,0.529876708984375,0.9351999759674072,0.9679999947547913,0.9023999571800232
31,31,0.3,14.19,12.198540687561035,11.819060325622559,-0.3794804811477661,-0.028798412531614304,-0.7301625609397888,11.696975708007812,11.941144943237305,0.9423999786376953,0.9199999570846558,0.9648000001907349
32,32,0.4,0.86,6.640925884246826,2.240449905395508,-4.400475978851318,-2.5874183177948,-6.213533878326416,3.8524017333984375,0.6284980773925781,0.8535999655723572,0.897599995136261,0.8095999956130981
33,33,0.28,10.41,9.560538291931152,8.638030052185059,-0.9225082397460938,3.6620688438415527,-5.50708532333374,11.519031524658203,5.757028579711914,0.9559999704360962,0.9503999948501587,0.9615999460220337
34,34,0.6,10.59,2.8820815086364746,2.0368785858154297,-0.8452030420303345,2.740098237991333,-4.430504322052002,5.2336859703063965,-1.159928560256958,0.9279999732971191,0.9535999894142151,0.9023999571800232
35,35,0.23,7.19,9.649398803710938,6.265634059906006,-3.38376522064209,-12.493511199951172,5.725980758666992,-0.12060286104679108,12.651870727539062,0.9335999488830566,0.9391999840736389,0.9279999732971191
36,36,0.32,11.73,8.916276931762695,8.427794456481934,-0.48848217725753784,0.577682614326477,-1.5546469688415527,8.984548568725586,7.8710408210754395,0.9551999568939209,0.9663999676704407,0.9440000057220459
37,37,0.37,5.41,6.944705963134766,4.691005229949951,-2.2537007331848145,0.8666009902954102,-5.374002456665039,7.104682445526123,2.2773280143737793,0.9231999516487122,0.9631999731063843,0.8831999897956848
38,38,0.58,14.53,6.854166507720947,6.643050670623779,-0.21111604571342468,-0.1648380160331726,-0.25739407539367676,6.498095989227295,6.788005352020264,0.9551999568939209,0.9615999460220337,0.9487999677658081
39,39,0.49,4.13,0.6757633686065674,-1.8451035022735596,-2.520866870880127,-3.4577159881591797,-1.5840177536010742,-4.228334426879883,0.5381275415420532,0.839199960231781,0.7856000065803528,0.892799973487854
40,40,0.3,2.74,9.102008819580078,5.937514305114746,-3.164494752883911,-3.464604616165161,-2.864384889602661,6.61285924911499,5.262169361114502,0.9359999895095825,0.9343999624252319,0.9375999569892883
41,41,0.28,3.69,7.757770538330078,4.825390815734863,-2.932379722595215,-5.392798900604248,-0.4719606339931488,2.4396233558654785,7.21115779876709,0.9575999975204468,0.9519999623298645,0.9631999731063843
