,scenario,reverb,snr,si_sdri,si_sdr,si_sdr_start,si_sdr_start_speaker0,si_sdr_start_speaker1,si_sdr_speaker0,si_sdr_spkeaker1,vad_accuracy,vad_acc_speaker0,vad_acc_speaker1
4009,4009,0.46,11.58,4.785252571105957,4.497445106506348,-0.28780752420425415,-0.2919863164424896,-0.2836287021636963,4.051877021789551,4.943012714385986,0.41439998149871826,0.6047999858856201,0.2239999920129776
4010,4010,0.49,7.46,-2.4900684356689453,-3.1575517654418945,-0.6674832105636597,-0.7449008226394653,-0.590065598487854,-3.7733137607574463,-2.5417895317077637,0.5320000052452087,0.5087999701499939,0.5551999807357788
4011,4011,0.22,12.81,11.820850372314453,11.534122467041016,-0.2867278754711151,-0.2762784957885742,-0.297177255153656,11.8536376953125,11.214608192443848,0.4991999864578247,0.527999997138977,0.47039997577667236
4012,4012,0.25,11.53,7.32246732711792,7.03599739074707,-0.28646981716156006,-0.30371615290641785,-0.26922351121902466,7.109737873077393,6.962256908416748,0.5623999834060669,0.4975999891757965,0.6272000074386597
4013,4013,0.5,13.26,11.635750770568848,11.455318450927734,-0.1804327666759491,-0.1749783158302307,-0.1858872026205063,11.429288864135742,11.481348037719727,0.5087999701499939,0.46399998664855957,0.553600013256073
4014,4014,0.54,0.04,10.63920783996582,7.579948902130127,-3.0592586994171143,-3.053438901901245,-3.0650784969329834,7.023150444030762,8.136747360229492,0.7231999635696411,0.7663999795913696,0.6800000071525574
4015,4015,0.55,6.74,11.858099937438965,11.002696990966797,-0.8554026484489441,-0.9707121849060059,-0.7400931119918823,10.24711799621582,11.758275985717773,0.46320000290870667,0.48639997839927673,0.4399999976158142
4016,4016,0.53,3.37,0.5324001312255859,-1.1726908683776855,-1.7050909996032715,-1.657323956489563,-1.7528579235076904,0.08189447969198227,-2.427276134490967,0.7080000042915344,0.6959999799728394,0.7199999690055847
4017,4017,0.28,4.91,-0.7762153148651123,-1.9672322273254395,-1.1910169124603271,-1.2398549318313599,-1.142179012298584,-1.1195217370986938,-2.8149425983428955,0.7655999660491943,0.7487999796867371,0.7823999524116516
4018,4018,0.51,9.44,8.028678894042969,7.571271896362305,-0.45740658044815063,-0.44391608238220215,-0.4708971083164215,7.7019453048706055,7.440598487854004,0.6031999588012695,0.7152000069618225,0.4912000000476837
4019,4019,0.28,5.62,2.24198317527771,1.255210280418396,-0.9867729544639587,-0.9933171272277832,-0.9802287817001343,1.392399787902832,1.11802077293396,0.7360000014305115,0.8575999736785889,0.6143999695777893
4020,4020,0.47,5.35,8.063196182250977,6.945927619934082,-1.1172688007354736,-1.1247344017028809,-1.1098030805587769,7.097084045410156,6.794771194458008,0.5167999863624573,0.5999999642372131,0.43359997868537903
4021,4021,0.28,4.79,6.760210990905762,5.539731979370117,-1.2204790115356445,-1.1878384351730347,-1.253119707107544,5.214657306671143,5.864806652069092,0.7784000039100647,0.6991999745368958,0.8575999736785889
4022,4022,0.33,7.66,2.3056983947753906,1.621626615524292,-0.6840716600418091,-0.6754364967346191,-0.692706823348999,1.6659457683563232,1.5773075819015503,0.613599956035614,0.5679999589920044,0.6592000126838684
4023,4023,0.36,1.17,7.097438812255859,4.621171951293945,-2.476266622543335,-2.4620933532714844,-2.4904398918151855,4.987123012542725,4.255220890045166,0.6279999613761902,0.6047999858856201,0.651199996471405
4024,4024,0.26,13.87,9.142385482788086,9.005232810974121,-0.13715283572673798,-0.12684214115142822,-0.14746353030204773,8.925224304199219,9.085241317749023,0.7039999961853027,0.6367999911308289,0.7712000012397766
4025,4025,0.59,0.57,3.7261555194854736,1.0273218154907227,-2.698833703994751,-2.7366325855255127,-2.6610348224639893,0.9885683059692383,1.066075325012207,0.7879999876022339,0.753600001335144,0.8223999738693237
4026,4026,0.42,11.32,11.07406234741211,10.795038223266602,-0.27902430295944214,-0.27882707118988037,-0.2792215645313263,10.751211166381836,10.838865280151367,0.46239998936653137,0.40799999237060547,0.5167999863624573
